Language,InventoryID,Source,SpecificDialect,Phoneme,Allophones,Marginal,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,lenis,raisedLarynxEjective,loweredLarynxImplosive,click
Egyptian Arabic (Cairene),231,upsid,,uː,,False,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,0,-,-,0
Egyptian Arabic (Cairene),231,upsid,,æː,,False,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,+,-,0,-,-,+,-,-,-,0,0,-,-,0
Egyptian Arabic (Cairene),231,upsid,,ɪ,,False,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,-,-,-,+,-,-,-,0,0,-,-,0
Egyptian Arabic (Cairene),231,upsid,,ʊ,,False,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,-,-,-,+,-,-,-,0,0,-,-,0
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),b,b,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),dz,dz,False,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),d̠ʒ,d̠ʒ,False,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),d̪,d̪,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),h,h,False,consonant,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,-,-,-,-,+,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),kʰ,kʰ,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,-,-,+,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),kʼ,kʼ,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,-,-,-,+,-,-,+,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),l,l l̩ ɾ,False,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),m,m m̩,False,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),n,n n̩,False,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),pʰ,pʰ,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,-,-,-,-,+,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),pʼ,pʼ,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,-,-,-,-,-,+,-,-,+,-,-
