target_form,target_ipa,source_word,source_languoid,source_meaning,source_relation,source_certain,concept,age,borrowed,form_id
nederlaag,n eː d ə r l aː x,Niederlage,High German,nederlaag,immediate,yes,the defeat,1425,1. clearly borrowed,Dutch-20-42-1
oorzaak,oː r z aː k,Ursache,High German,oorzaak,immediate,yes,the cause,1401-1425,1. clearly borrowed,Dutch-17-42-1
pech,p ɛ x,Pech,High German,pech,immediate,yes,the bad luck,1901,1. clearly borrowed,Dutch-16-19-1
rendier,r ɛ n d iː r,Rentier,High German,rendier,immediate,yes,the reindeer/caribou,1714,1. clearly borrowed,Dutch-3-871-2
sieraad,s iː r aː t,Zierat,High German,sieraad,immediate,yes,the ornament or adornment,1537,1. clearly borrowed,Dutch-6-71-1
sintel,s ɪ n t ə l,sintel,High German,sintel,immediate,yes,the embers,1436-1523,1. clearly borrowed,Dutch-1-841-1
sluier,s l œy j ə r,Schleier,High German,sluier,immediate,yes,the veil,1527,1. clearly borrowed,Dutch-6-59-1
sok,s ɔ k,Socke,High German,sok,immediate,yes,the sock or stocking,1805,1. clearly borrowed,Dutch-6-49-2
spindel,s p ɪ n d ə l,Spindel,High German,spindel,immediate,yes,the spindle,1917,1. clearly borrowed,Dutch-6-32-1
spits,s p ɪ t s,Spitze,High German,spits,immediate,yes,pointed,1542,1. clearly borrowed,Dutch-12-352-1
stotteren,s t ɔ t ə r ə,stottern,High German,stotteren,immediate,yes,to stutter or stammer,1781,1. clearly borrowed,Dutch-18-211-2
straf,s t r ɑ f,Strafe,High German,straf,immediate,yes,the penalty or punishment,1542,1. clearly borrowed,Dutch-21-37-1
trom,t r ɔ m,trum(m)e,High German,trom,immediate,yes,the drum,1507,1. clearly borrowed,Dutch-18-72-2
trommel,t r ɔ m ə l,Trommel,High German,trommel,immediate,yes,the drum,1538,1. clearly borrowed,Dutch-18-72-1
trots,t r ɔ t s,trotz,High German,trots,immediate,yes,proud,1589,1. clearly borrowed,Dutch-16-48-1
vasteland,v ɑ s t ə l ɑ n t,terraferma/Festland,High German,vasteland,immediate,no,the mainland,1580,5. no evidence for borrowing,Dutch-1-26-1
verwanten,v ə r ʋ ɑ n t ə,verwant,High German,verwanten,immediate,yes,the relatives,1588,1. clearly borrowed,Dutch-2-81-2
verzamelen,v ə r z aː m ə l ə,versammeln,High German,verzamelen,immediate,yes,to gather,1444,1. clearly borrowed,Dutch-12-21-1
vreemdeling,v r eː m d ə l ɪ ŋ,Fremdling,High German,vreemdeling,immediate,yes,the stranger,1525,1. clearly borrowed,Dutch-19-55-1
wikkelen,ʋ ɪ k ə l ə,wickeln,High German,wikkelen,immediate,yes,to wrap,1576,1. clearly borrowed,Dutch-10-14-1
zich_herinneren,z ɪ x + h ɛ r ɪ n ə r ə,sich erinnern,High German,zich herinneren,immediate,yes,to remember,1601-1650,1. clearly borrowed,Dutch-17-31-1
thee,t eː,tê,Hokkien,tea,immediate,yes,the tea,1637,1. clearly borrowed,Dutch-23-9-1
bamboe,b ɑ m b uː,bambu,Indonesian,bamboe,immediate,yes,the bamboo,1596,1. clearly borrowed,Dutch-8-94-1
bank,b ɑ ŋ k,banco,Italian,bank,immediate,yes,the bank,1467,1. clearly borrowed,Dutch-23-44-1
nul,n ʏ l,nulla,Italian,zero,immediate,yes,zero,1508,1. clearly borrowed,Dutch-13-1
vasteland,v ɑ s t ə l ɑ n t,terraferma/Festland,Italian,vasteland,immediate,no,the mainland,1580,5. no evidence for borrowing,Dutch-1-26-1
aanbidden,aː m b ɪ d ə,adorare,Latin,to worship,immediate,yes,to worship,1240,5. no evidence for borrowing,Dutch-22-16-1
altaar,ɑ l t aː r,altāre,Latin,"‘altar’, literally ‘high spot’",immediate,yes,the altar,1200,1. clearly borrowed,Dutch-22-14-1
anker,ɑ ŋ k ə r,ancora,Latin,anchor,immediate,yes,the anchor,1240,1. clearly borrowed,Dutch-10-89-1
baarmoeder,b aː r m uː d ə r,Latijn matrix,Latin,baarmoeder,immediate,yes,the womb,1542,5. no evidence for borrowing,Dutch-4-47-1
bier,b iː r,biber,Latin,beer,immediate,yes,the beer,1240,3. perhaps borrowed,Dutch-5-93-1
bont,b ɔ n t,punctus,Latin,bont,immediate,yes,the fur,1300,1. clearly borrowed,Dutch-6-28-1
boter,b oː t ə r,butyrum,Latin,butter,immediate,yes,the butter,1240,1. clearly borrowed,Dutch-5-89-1
brief,b r iː f,brevis,Latin,brief,immediate,yes,the letter,1236,1. clearly borrowed,Dutch-23-42-1
bril,b r ɪ l,beryllus,Latin,bril,immediate,yes,the spectacles/glasses,1401-1500,1. clearly borrowed,Dutch-23-24-1
cirkel,s ɪ r k ə l,circulus,Latin,little ring,immediate,yes,the circle,1220-1240,1. clearly borrowed,Dutch-12-82-1
demon,d eː m ɔ n,daemōn,Latin,demon,immediate,yes,the demon,1721,1. clearly borrowed,Dutch-22-35-1
dichter,d ɪ x t ə r,dictator,Latin,dichter,immediate,yes,the poet,1240,1. clearly borrowed,Dutch-18-67-1
dinsdag,d ɪ n z d ɑ x,diês Martis,Latin,day of (god) Mars,immediate,yes,Tuesday,1269,5. no evidence for borrowing,Dutch-14-64-1
dokter,d ɔ k t ə r,doctor,Latin,physician,immediate,yes,the physician,1576,1. clearly borrowed,Dutch-4-87-2
donderdag,d ɔ n d ə r d ɑ x,dies Iovis,Latin,donderdag,immediate,yes,Thursday,1257,5. no evidence for borrowing,Dutch-14-66-1
duizendpoot,d œy z ə n t p oː t,milipeda,Latin,duizendpoot,immediate,yes,the centipede,1881,5. no evidence for borrowing,Dutch-3-814-1
ezel,eː z ə l,asinus,Latin,donkey,immediate,yes,the donkey,1240,1. clearly borrowed,Dutch-3-46-1
